"a","b"
"ARI","outdoors"
"ATL","outdoors"
"BAL","outdoors"
"BUF","outdoors"
"CAR","outdoors"
"CHI","outdoors"
"CIN","outdoors"
"CLE","outdoors"
"DAL","outdoors"
"DEN","outdoors"
"DET","dome"
"GB","outdoors"
"HOU","outdoors"
"IND","outdoors"
"JAX","outdoors"
"KC","outdoors"
"LAC","dome"
"LAR","dome"
"LV","dome"
"MIA","outdoors"
"MIN","dome"
"NE","outdoors"
"NO","dome"
"NYG","outdoors"
"NYJ","outdoors"
"PHI","outdoors"
"PIT","outdoors"
"SEA","outdoors"
"SF","outdoors"
"TB","outdoors"
"TEN","outdoors"
"WAS","outdoors"
