"Week","Day","Time","Games"
1,"T","N",1
2,"T","N",1
3,"T","N",1
4,"T","N",1
5,"T","N",1
6,"T","N",1
7,"T","N",1
8,"T","N",1
9,"T","N",1
10,"T","N",1
11,"T","N",1
12,"T","N",3
13,"T","N",1
14,"T","N",1
15,"T","N",1
16,"T","N",1
17,"T","N",1
18,"T","N",1
1,"S","M",9
2,"S","M",7
3,"S","M",9
4,"S","M",9
5,"S","M",9
6,"S","M",8
7,"S","M",7
8,"S","M",8
9,"S","M",8
10,"S","M",7
11,"S","M",8
12,"S","M",7
13,"S","M",8
14,"S","M",7
15,"S","M",5
16,"S","M",9
17,"S","M",9
18,"S","M",9
1,"S","A",4
2,"S","A",5
3,"S","A",4
4,"S","A",3
5,"S","A",3
6,"S","A",3
7,"S","A",4
8,"S","A",4
9,"S","A",2
10,"S","A",3
11,"S","A",3
12,"S","A",4
13,"S","A",4
14,"S","A",3
15,"S","A",3
16,"S","A",4
17,"S","A",4
18,"S","A",4
1,"S","N",1
2,"S","N",1
3,"S","N",1
4,"S","N",1
5,"S","N",1
6,"S","N",1
7,"S","N",1
8,"S","N",1
9,"S","N",1
10,"S","N",1
11,"S","N",1
12,"S","N",1
13,"S","N",1
14,"S","N",1
15,"S","N",1
16,"S","N",1
17,"S","N",1
18,"S","N",1
1,"M","N",1
2,"M","N",2
3,"M","N",1
4,"M","N",1
5,"M","N",1
6,"M","N",1
7,"M","N",1
8,"M","N",1
9,"M","N",1
10,"M","N",1
11,"M","N",1
12,"M","N",1
13,"M","N",1
14,"M","N",1
15,"M","N",1
16,"M","N",1
17,"M","N",1
18,"M","N",1
4,"S","E",1
5,"S","E",1
8,"S","E",1
10,"S","E",1
